time,open,high,low,close,SH Ext,SH,SL Ext,SL,VWAP MIDDLE,BB Red Line,BB Top,BB Bottom,Long Plot,Short Plot,Shapes,Shapes,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1611100800,35921.91,36415.34,33387.01,35503.09,41986.37,41986.37,30100,30100,35101.81333333333,35943.279500000004,41609.72931563755,30276.82968436246,36879.50921854017,35821.5978802872,NaN,NaN,56.72935175251772,68.24838501965813,NaN,NaN
1611187200,35498.85,35628.24,30011,30855.95,41986.37,41986.37,30100,30100,32165.063333333328,36015.435000000005,41375.90924432753,30654.960755672477,35905.0456981946,34194.56035992011,NaN,NaN,43.993430139026174,65.0668715582081,NaN,NaN
1611273600,30855.9,33867,28732,32984.93,41986.37,41986.37,30100,28732,31861.309999999998,36053.386,41315.85834447615,30790.913655523844,34977.866280143666,33898.73818914762,NaN,NaN,49.57827096137455,62.226226090465,NaN,NaN
1611360000,32982.66,33488.79,31432.19,32112.01,41986.37,41986.37,30100,28732,32344.329999999998,36004.9535,41392.3184708007,30617.588529199304,34115.61273029644,32556.198547086533,NaN,NaN,47.48735143620574,59.40304182244087,NaN,NaN
1611446400,32110,33086.53,30931.21,32288.56,41986.37,41986.37,30100,28732,32102.100000000002,36018.382,41367.14908599882,30669.614914001177,33251.70873199662,32511.542864686067,NaN,NaN,47.9653390380166,57.39635723131984,NaN,NaN
1611532800,32293.18,34888,31920.8,32261.87,41986.37,41986.37,30100,28732,33023.556666666664,35929.9435,41462.58090874562,30397.30609125438,32811.77218945382,31774.83900646963,NaN,NaN,47.894364486179505,56.200458021787355,NaN,NaN
1611619200,32260.52,32960.37,30830,32510.82,41986.37,41986.37,30100,28732,32100.39666666667,35712.5215,41420.96635499605,30004.076645003952,32081.602721622807,31870.958618098866,NaN,NaN,48.65749779694045,55.4171566332269,NaN,NaN
1611705600,32510.82,32584.62,29156,30407.13,41986.37,41986.37,28732,28732,30715.916666666668,35257.6,41132.166874165334,29383.033125834667,31587.751958619494,30895.45683961731,NaN,31126.464579757816,42.93504834351488,53.748012764464136,NaN,NaN
1611792000,30414.11,34000,29902.14,33488.99,41986.37,41986.37,28732,28732,32463.710000000003,34898.792,40262.82407498831,29534.759925011695,31126.464579757816,31671.95976070477,NaN,NaN,51.8660391258697,52.51411363897544,NaN,NaN
1611878400,33487.92,38570.13,31990,34262.11,41986.37,38570.13,28732,28732,34940.746666666666,34599.026,39368.87652525722,29829.175474742777,31503.64185191935,31627.5643226081,NaN,NaN,53.81864911027438,51.96511391585964,NaN,NaN
